job_id,title,company,location,is_remote,salary,salary_min,salary_max,job_type,category,skills,skill_count,description,posted_date,url,tags,source
remoteok_1130691,Executive Brand Operations,Gate,Apac-C1,True,,,,Full-time,,,0,"Our Vision As one of the worldâs top 10 (and risingð) digital asset exchanges, we provide a best- in-class experience in trading, security, and blockchain product innovation. We aim to democratize access to the markets for all, making it possible for the most recent and promising cryptocurrency projects to be listed and traded safely and securely. Are you excited to join a decentralizing force in the world? \n Job description - Trend Identification & Strategy: Monitor Web3 and global macro-finance trends in real-time. Utilize your research background to independently develop high-value content themes, ensuring the executiveâs voice remains at the industryâs forefront. - Professional Voice & Outputs: Lead the executiveâs presence on X (Twitter) and other platforms. Draft and refine sophisticated content in both English and Chinese, including in-depth viewpoints, media interview scripts, Q&A frameworks, and talking points for global summits. - Account Operations: Manage the daily presence and professional engagement of social media accounts. Build long-term influence within global Web3 circles through the consistent output of high-signal content. - IP Strategic Support: Assist with other tasks related to the exec Requirements - Education: Degree from a reputable university in Finance, Economics, or a related field. - Web3 Expertise: Deeply rooted in the Web3 ecosystem. Strong grasp of DeFi, protocols, and crypto-economics, with the professional caliber to conduct independent industry research. - Linguistic Mastery: Flawless proficiency in English writing (Native-level) and professional Chinese narrative skills. Ability to produce credible, precise content with zero ""translation feel."" - Execution Excellence: Highly self-motivated with the ability to manage the entire workflowâfrom research to final bilingual deliveryâindependently in a fast-paced environment. \n We are A values-based culture that trusts your knowledge, vision, and autonomy, we focus on taking the best products and campaigns to wow our customers and bring the freedom of decentralization to every part of the world. Integrity, insight, innovation, purpose and cooperation are inscribed within our culture. At Gate, we are committed to GateStyles and we are looking for candidates who also exhibit the same values. Gate, founded in 2013, is one of the pioneering cryptocurrency exchanges and offers services worldwide related to the trading of multiple leading digital assets. With millions of registered users, it is considered one of the safest and most reliable global cryptocurrency platforms, consistently ranked among the top 10 cryptocurrency exchanges based on liquidity and trading volume (CoinGecko). Additionally, Gate has been verified by Blockchain Transparency. Please mention the word **ADVOCATES** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-executive-brand-operations-gate-1130691,"web3, cryptocurrency, voice, lead, content, operations, executive",remoteok
remoteok_1130690,Senior Python Backend Engineer Mission Critical,Amstar Curacao,Remote,True,$30000 - $50000,30000.0,50000.0,Full-time,,"ci/cd, docker, fastapi, github actions, javascript, linux, mysql, python, react, sql",10,"About Us We are a 26-year established Destination Management Company (DMC) operating under theÂ Amstar DMC brand , the official destination services and tour operator brand ofÂ Hyatt Corporation . We support major North American travel brands including: Apple Vacations American Express Vacations CheapCaribbean Expedia Hyatt And more than 12 additional travel brands Our platform supports daily operational workflows for: Transfer bookings (airport â hotel) Tours and excursions Vacation-related services Automated dispatch and resource allocation Supplier coordination Operational handling Financials (invoicing, payments, credit card payments etc) The system automatically assigns drivers, vehicles, and partner companies required for service delivery. This is a real-time operational system used daily in production. Current System (Legacy Overview) We operate a 24-year-old Perl-based monolithic application. Codebase ~250,000 lines total ~100K core Perl code 63K template toolkit 43K configuration system 17K Perl scripts 25K web framework Single monolithic architecture Single MySQL database 178 tables 10 background jobs ORM used since inception (limited direct SQL usage) Integrations Google Drive Gmail FlightStats WhatsApp Stripe (payments) Additional workflows: Email parsers reading Excel attachments CSV generation & ingestion via Google Drive Google Forms integrations Blocking page flows in current UI Infrastructure Hosted on DigitalOcean VPS Ubuntu 22.10 (scheduled for upgrade) Dev / Stage / Production environments Python services are Dockerized Perl system is not containerized Partial CI/CD automation (Python only) Infrastructure managed by current Senior Developer Automated database backups + monthly restore testing No replication currently Downtime tolerance: up to 8 hours (business continuity procedures exist) Migration Status & Goal We are executing a phased migration from Perl to Python. ~20% already migrated Target: >80% migrated within 12 months End goal: full replacement of legacy Perl system Current modernization streams: Migrate email & WhatsApp handling to AI-driven solution Rebuild core order management functionality in Python (FastAPI) Develop new UI for drivers and hostesses Gradually decouple monolith into modular services This is a controlled, staged production migration. Team Structure 1 senior developer (20 years on system) 1 QA No dedicated DevOps Requirements defined by business + management + senior dev Production incidents handled by senior dev Very stable production system (minimal incidents in last 12 months) This role will significantly strengthen and eventually take ownership of the modernization effort. Required Technical Skills (Must Have) Strong Python experience Proven production experience with FastAPI Strong MySQL knowledge (schema, indexing, query optimization) Comfortable in Linux (Ubuntu) CLI Experience with pytest GitHub + GitHub Actions CI/CD Experience deploying behind Nginx or Apache Docker experience Professional use of VS Code or similar Understanding of API design and system decoupling Secondary (Nice to Have) Ability to read Perl code Experience modernizing monolithic systems Experience with Google APIsÂ Experience with Stripe or payment systems Basic React experience (for internal admin tools) React is not a primary frontend role requirement. Work Environment Fully remote Daily scrum (max 30 minutes) Structured weekly planning Flexible working hours 24/7 operational business context This is not a constant on-call role, but production responsibility is real. Emergency incidents are rare but must be handled professionally. We value: Transparency Ownership Integrity Clear documentation Structured decision-making What You Will Own Build production-ready FastAPI services Define migration architecture Improve CI/CD maturity Strengthen infrastructure reliability Design rollback-safe deployments Document architectural decisions Gradually replace the legacy monolith This is a high-autonomy, high-responsibility role. Please mention the word **FRUITFUL** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-senior-python-backend-engineer-mission-critical-amstar-curacao-1130690,"dev, python, FastAPI, sql, linux, Pytest, Nginx, apache, javascript, react, VS Code, Remote Working, GitHub Actions",remoteok
remoteok_1130687,Frontend Engineer II Core Product,Pulley,Remote,True,,,,Full-time,,,0,"ðAbout Pulley Pulley's mission is to make it easier for anyone to start a company. We believe that more startups should exist and that founder-led companies are more successful in the long term. With Pulley's cap table management tools, companies can better understand and optimize their equity for the long term. Starting a company is hard enough. Managing equity shouldn't be. We're a high-performing team on a mission to redefine how early-stage leaders build and manage their companies in an AI-native world. As AI reshapes how businesses operate, we see a unique opportunity to reimagine equity and business management from the ground up. A brand-new, unsolved challenge that we're excited to tackle. Pulley is growing quickly with over 8,000 customers, including startups like Linear, Runway, Fathom, and Roam. Our trajectory is fueled by top investors like Founders Fund, Stripe, General Catalyst, Caffeinated Capital, 8vc, Elad Gil, and other incredible angels. All of our growth has been organic, and we're expanding the team to meet the growing demand. We're looking for passionate, execution-focused self-starters to help us build the next generation of tools for founders. ð About the role We're looking for a Software Engineer to join our growing team of product-minded engineers. This role sits at the heart of how we build intuitive, powerful tools for startup founders. Tools that help them manage their equity, understand their business, and make critical decisions faster. You'll work closely with designers, PMs, and fellow engineers to bring polished, performant experiences to life. At Pulley, our frontend engineers don't just build UI, they influence product direction, own the end-to-end experience, and help shape the future of startup tooling in an AI-native world. You'll get to work on high-impact features that are both foundational to our platform and visible to thousands of founders scaling the next generation of companies. While we're looking for a frontend-focused engineer, we value building skills across the stack, ensuring that you'll have exposure to a myriad of technologies and ample opportunities to learn and grow. ð What You'll Do Build and own rich, interactive product features across our web platform, from concept to deployment Partner closely with design and product to shape user experiences with empathy and craft Collaborate with backend and AI engineers to deliver seaml Please mention the word **FLOURISHING** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-frontend-engineer-ii-core-product-pulley-1130687,"frontend, design, software, growth, web, management, engineer, backend, digital nomad",remoteok
remoteok_1130686,Security Engineer,Exodus Movement Inc.,Remote,True,,,,Full-time,,,0,"As a Security Engineer at Exodus, you will play a critical role in strengthening the security and resilience of our platform by engineering scalable defensive systems across enterprise and production environments, with detection and response as core capabilities. This role goes beyond traditional monitoring, you will design and implement scalable automation that empowers our Cyber Defense team to detect, triage, and respond to threats more effectively. By leveraging both AI-assisted and traditional solutions, you will drive measurable improvements to our security operations, enhance incident response readiness, and build systems that scale alongside our growing business. Your work will directly contribute to protecting our users and enabling Exodus to operate securely in an evolving threat landscape. What You Will Do â¢ Build smart, AI-assisted automation that reduces manual security work. â¢ Connect and enrich security data across enterprise and security tools. â¢ Help improve how quickly and confidently alerts are understood and prioritized. â¢ Play an active role in security hardening, investigations and incident response. â¢ Create scalable automation that makes the Cyber Defense team more effective. â¢ Continuously reduce attack surface across our enterprise and production environments. Who You Are â¢ You live in the EMEA Region (UTC 0 to UTC +4 time zones). â¢ You bring 4+ years of experience in Security Engineering, Detection Engineering, and/or Incident Response. â¢ You have hands-on experience building AI-driven security automation or agentic workflows. â¢ You understand AI security concepts and have experience integrating AI/LLM-based tooling into security workflows. â¢ You're proficient in scripting languages for automation and API integrations. â¢ You have experience building and improving SecDevOps automations. â¢ You're comfortable working with SIEMs (queries, alert tuning). â¢ You're familiar with EDR platforms. Please mention the word **LOVABLE** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-security-engineer-exodus-movement-inc-1130686,"security, design, api, engineer, engineering, digital nomad",remoteok
remoteok_1130685,Training & Assessment Assessor,Hunt St,Remote,True,,,,Full-time,,,0,"Job Role: Assessor & Assessment Team Admin Support Compensation range: $1800 - $2200 AUD / Monthly Engagement type: Independent Contractor Agreement Work Schedule: This role is expected to align with the AU business hours (approx. 9 AM - 5 PM, Monday to Friday) for collaboration, but as a contractor, youâll have flexibility in how you manage your time. Who We Are: At Hunt St, we help Australian companies hire top remote talent in the Philippines. For this role, you will be engaged directly by the client as an independent contractor. We are not an outsourcing agency. All of our roles are 100% remote so you'll be able to work from home. Who The Client Is: A global professional body advancing the field of sports nutrition through education, regulation, and high standards of practice. Operating across multiple regions, it sets rigorous standards for professionals, provides accredited education and certifications, and ensures practitioners are properly trained and insured. An advisory board of leading researchers and practitioners continually updates content and standards based on the latest evidence and compliance requirements. Role Overview: We are seeking a Qualified Assessor based in the Philippines to support an Australian Graduate Studentsâ Program. The primary responsibility of this role is to assess and mark academic assignments in line with Australian compliance standards. After approximately six months, the role may expand to include marking practical assessments. This position requires a strong understanding of competency-based assessment and strict adherence to compliance requirements. Key Responsibilities:Â Assess and mark academic assignments using structured rubrics and guidelines Provide clear, constructive, and compliant feedback to students Ensure assessments align with Australian standards and regulatory requirements Maintain accurate documentation and assessment records Collaborate with the program team to ensure consistency and quality assurance Certificate IV in Training and Assessment (TAE40122 / TAE40116 or equivalent) â Mandatory for compliance Open to candidates with TESDA Trainer/Assessor Certification (will be considered) Proven experience conducting competency-based assessments Hands-on experience using LMS (Learning Management Systems) Hands-on experience using SMS (Student Management Systems) Strong written English skills with the ability to provide detailed academic feedback High level of accuracy, integrity, and attention to detail Ability to work independently in a remote setup Preferred (Nice to Have) Experience working with an Australian organization or RTO Familiarity with Australian education compliance standards Experience with e-skilled platforms Experience with Moodle-based platforms Basic familiarity with nutrition concepts (no formal degree required) Background in academic marking or training delivery Work Arrangement & Expectations: This is a remote role that will be set up as an independent contractor engagement. To ensure alignment and transparency, successful candidates will be expected to: Disclose any existing ongoing roles or client work Reflect this engagement on their LinkedIn profile (clearly marked as âIndependent Contractorâ) Please mention the word **ARDENTLY** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-training-assessment-assessor-hunt-st-1130685,"training, support, education, admin, management, content, non tech",remoteok
remoteok_1130684,Product Operations Lead,Alpaca,Remote (Americas),True,,,,Full-time,,spark,1,"Who We Are: Alpaca is a US-headquartered self-clearing broker-dealer and brokerage infrastructure for stocks, ETFs, options, crypto, fixed income, 24/5 trading, and more. Our recent Series D funding round brought our total investment to over $320 million, fueling our ambitious vision. Amongst our subsidiaries, Alpaca is a licensed financial services company, serving hundreds of financial institutions across 40 countries with our institutional-grade APIs. This includes broker-dealers, investment advisors, wealth managers, hedge funds, and crypto exchanges, totalling over 9 million brokerage accounts. Our global team is a diverse group of experienced engineers, traders, and brokerage professionals who are working to achieve our mission of opening financial services to everyone on the planet . We're deeply committed to open-source contributions and fostering a vibrant community, continuously enhancing our award-winning, developer-friendly API and the robust infrastructure behind it. Alpaca is proudly backed by top-tier global investors, including Portage Ventures, Spark Capital, Tribe Capital, Social Leverage, Horizons Ventures, Unbound, SBI Group, Derayah Financial, Elefund, and Y Combinator. Our Team Members: We're a dynamic team of 230+ globally distributed members who thrive working from our favorite places around the world, with teammates spanning the USA, Canada, Japan, Hungary, Nigeria, Brazil, the UK, and beyond! We're searching for passionate individuals eager to contribute to Alpaca's rapid growth. If you align with our core valuesâStay Curious, Have Empathy, and Be Accountableâand are ready to make a significant impact, we encourage you to apply. Your Role : Fix Alpaca's operational bottlenecks for scale. Your mission is to own and break the cycle of operational debt by transforming high-risk bottlenecks into automated, scalable solutions. You will operate as the critical bridge, ensuring Alpaca's ambitions are balanced against operational reality to secure the foundation for parabolic growth. Things You Get To Do: Own Structural Bottlenecks: Own the product roadmap for Alpaca's internal workflows and tooling. Drive root cause analysis and execute on the most complex and high-risk operational problems (e.g. AML/KYC workflows, reconciliations, corporate actions, cost basis processing, tax reporting, and security master/reference data management) Automation Strategy: Design systems and leverage internal tooling, AI, and workflow orchestration, so existing operations teams can support 100x growth. Eliminate critical failure modes by automating core workflows. Delivery & Measurement: Define clear success metrics and SLAs. Write crisp specifications, map processes, and work cross-functionally to sh Please mention the word **THOUGHTFUL** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-09,https://remoteOK.com/remote-jobs/remote-product-operations-lead-alpaca-1130684,"design, crypto, security, support, financial, investment, api, lead, operations, operational, digital nomad",remoteok
remoteok_1130679,Staff DevOps Engineer,"Crunchyroll, LLC",Los Angeles,True,,,,Full-time,,,0,"About Crunchyroll Founded by fans, Crunchyroll delivers the art and culture of anime to a passionate community. We super-serve over 100 million anime and manga fans across 200+ countries and territories, and help them connect with the stories and characters they crave. Whether that experience is online or in-person, streaming video, theatrical, games, merchandise, events and more, it's powered by the anime content we all love. Join our team, and help us shape the future of anime! About the Team At Crunchyroll, our Cloud Reliability team within the Infrastructure Engineering team forms the foundation on which our services are built and directly influence our customer experience and the velocity of our engineers. Our team focus is to ensure that our developers are enabled, self-service, that everything about our infrastructure is automated and that our services are highly reliable and scalable. Cloud Reliability team members will engage directly with development teams on helping them become empowered and effective at delivering on our Infrastructure. About the role As a Staff DevOps Engineer within the Infrastructure Engineering team, you are essential in automating and scaling the systems and services that power our streaming platform. You will work with our DevOps team, delivery teams and lead projects related to infrastructure automation, scaling, CICD, driving them forward to completion and ensuring that the platform processes, automation and best practices are being followed. In collaboration with other engineers, you develop tools and systems that support services and facilitate high-quality software delivery and arc Please mention the word **ASSUREDLY** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-07,https://remoteOK.com/remote-jobs/remote-staff-devops-engineer-crunchyroll-llc-1130679,"support, software, devops, cloud, lead, content, reliability, engineer, engineering",remoteok
remoteok_1130678,Cloud Systems Engineer,Accenture Federal Services,Tampa,True,,,,Full-time,,"aws, azure, ci/cd, kubernetes, terraform",5,"At Accenture Federal Services, nothing matters more than helping the US federal government make the nation stronger and safer and life better for people.â¯Our 13,000+ people are united in a shared purpose to pursue the limitless potential of technology and ingenuity for clients across defense, national security, public safety, civilian, and military health organizations.Â Join Accenture Federal Services, a technology company within global Accenture. Recognized as a Glassdoor Top 100 Best Place to Work, we offer a collaborative and caring community where you feel like you belong and are empowered to grow, learn and thrive through hands-on experience, certifications, industry training and more.Â Join us to drive positive, lasting change that moves missions and the government forward! Accenture is seeking a Cloud Systems Engineer specializing in AWS GovCloud who will be responsible for designing and implementing AWS infrastructure architecture to meet mission requirements. This person will join our team and support our client near the Orlando, FL area.Â What youâll do: â¢ Design and implement AWS infrastructure architecture based on mission requirements â¢ Configure security groups, Network ACLs, and AWS CLI access and integration â¢ Implement container security controls including image scanning, pod security policies, network policies, and RBAC configurations â¢ Establish GitOps workflows and integrate CI/CD pipelines for containerized application deployments â¢ Configure monitoring, logging, and alerting using AWS CloudWatch, EKS-native tools, and container observability platforms â¢ Optimize infrastructure and container resource utilization through autoscaling, performance tuning, and RDS configuration â¢ Integrate IAM roles, service accounts, and secrets management with infrastructure and container components â¢ Automation of routine tasks with scripting and developing supporting scripts for application implementation and integration â¢ Configure EC2 instances, Auto Scaling, Elastic Load Balancing, and high availability solutions â¢ Design, deploy, and manage Kubernetes (EKS) clusters with proper node groups, networking, and security configurations â¢ Develop and maintain reusable, modular IaC templates (e.g., Terraform) and container orchestration manifests (Helm charts, Kubernetes manifests) â¢ Create documentation, operational runbooks, and troubleshooting guides What youâll need: â¢ 3 years of experience in cloud technologies and platforms, such as AWS, Azure, or other cloud service providers â¢ 3 years implementing, testing, and deploying security services and tools (i.e., antivirus software, vulnerability scanning software, and DISA STIGs) â¢ 1 year of experience architecting information systems for authorization under ICD 503 or DoD Risk Management Framework â¢ Experience with Kubernetes â¢ DoD 8570 Compliant with IAT Level 2 certification Bonus points if you have: â¢ Bachelorâs Degree in Technical Discipline â¢ AWS Cloud certifications, such as AWS Solutions Architect or AWS Security Specialty â¢ Assessment and Authorization experience in a related industry (experience owning a program/product/feature, scoping requirements, and working with technical teams) â¢ Familiarity with the processes and documentation required to articulate the appropriate syst Please mention the word **DISTINGUISHED** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-07,https://remoteOK.com/remote-jobs/remote-cloud-systems-engineer-accenture-federal-services-1130678,"design, security, training, architect, technical, support, cloud, node, management, operational, health, engineer, digital nomad",remoteok
remoteok_1130676,Engineering Manager Accelerator Platform,Anthropic,San Francisco,True,,,,Full-time,,rest,1,"About Anthropic Anthropic's mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the Role Every time someone talks to Claude -- through the API, claude.ai , our cloud partners, or any of our expanding surfaces -- the request lands on an AI accelerator. Not one kind, many kinds: TPUs, Trainium chips, GPUs. Each arrives with its own software stack, performance characteristics, failure modes, and operational quirks. Someone has to take raw silicon and turn it into a platform that the rest of Anthropic can build on without thinking about which chip is underneath. That's us. The Accelerator Platform team owns the bringup and normalization of new hardware platforms for Anthropic's first party inference fleet. We sit between the low-level systems teams and the serving infrastructure that runs production inference -- bridging the gap so that every new accelerator generation ships as a first-class production platform. It's deeply technical work at the intersection of hardware enablement, di Please mention the word **FERVOR** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-07,https://remoteOK.com/remote-jobs/remote-engineering-manager-accelerator-platform-anthropic-1130676,"manager, technical, software, cloud, operational, engineering",remoteok
remoteok_1130673,Senior DevOps Engineer,ChowNow ,Remote,True,,,,Full-time,,"aws, ci/cd, elasticsearch, go, linux, mysql, postgresql, python, redis, terraform",10,"Are you looking for an opportunity to put your deep experience with AWS to use? Are you eager to contribute to the shaping and direction of a DevOps team? Do you love the challenge of removing bottlenecks in development and deployment processes? If scalability and stability are your thing, then we may have the perfect opportunity for you. About Us: ChowNow is one of the leading players in off-premise restaurant technology. As takeout becomes a vital revenue stream for independent restaurants, our platform helps owners focus on what they do bestâserving great foodâby offering solutions across the entire digital dining experience. From building branded websites and mobile apps, to powering online orders, managing menus, consolidating delivery, and running targeted marketing, we give restaurants the tools to grow on their own terms. We support over 20,000 restaurants across North America , helping process $1B+ in gross food sales while saving our partners over $700M in third-party commission fees . Through our white-label ordering solutions, a growing demand network (including Google, Yelp, Apple, and Snap), and a diner-friendly marketplace, we empower independent restaurants to own their customer relationships and avoid inflated pricing and fees charged by 3rd party delivery apps like Uber and Doordash. Founded in 2012, weâve navigated rapid growth and transformationâfrom startup roots through the pandemic boomâand are now beginning an exciting new era under our CEO, Kanika Soni . As we evolve with new leadership and cutting-edge tools, weâre deepening our commitment to helping local restaurants thrive in the digital economy. About the Position: As a Senior DevOps Engineer at ChowNow, you will be specifically responsible for building, improving, and growing our technology infrastructure. You will help design and implement reproducible processes in the enterprise environment as well as support the application production environment. You will own and support engineering user-facing technology as well as share responsibility for supporting the production operations. This is a remote position located in the United States, and will report to an Engineering Manager; No direct reports. This is a remote role based in the United States. Please note: ChowNow is not eligible to employ in every state and the recruiting team will confirm location and eligibility before moving past initial stages. What We Love About You: You put restaurants first. You deeply understand the importance of local restaurants and put them at the center of everything you do. You aim to help them not only survive but thrive. You celebrate diversity. You recognize that diversity and inclusivity matter. Youâre committed to progress, which means everyone gets the support and resources they need, no matter who they are. You have an ability to listen to other team members' ideas and can thrive in an environment that embraces individuality. Everyoneâs voice counts. You raise your hand. You consistently go above and beyond what is asked of you. You help your peers accomplish their tasks while also excelling at accomplishing your own. When you have a smart idea, you raise your hand and share it. You keep reaching. You set clear ambitious goals. You donât allow yourself to become complacent with where youâre at and what youâve done, so you seek out new opportunities and challenges. What Success Looks Like: \n Within 30 days, youâllâ¦ Progress through our Ramp Camp (ChowNowâs New Hire Onboarding Experience) You will begin to learn and contribute to our development and deployment patterns. You will begin contributing to our release process, log analysis, security patching, AWS infrastructure management, and high availability by advancing our Terraform and Ansible codebase through writing code and documentation. Within 60 days, youâllâ¦ Participate with engineering leadership to plan the prioritized roadmap of DevOps and Infrastructure projects. Have a command of infrastructure tools and processes, and be able to contribute to refining them. Share responsibility for defining, sharing, and achieving team and individual KPI goals. Within 90 days, youâllâ¦ Contribute to the technology architecture review board. Be a knowledge leader, contributing, teaching, and continuing to learn. Be able to take active part in shaping DevOps roadmap by proposing new projects and defining priorities and initiatives You Should Apply If: 3+ years of experience with DevOps practices 5+ years of overall infrastructure management experience 3+ years AWS experience, including but not limited to EC2, RDS, Lambda, and ECS/Fargate Experience operating container-based workloads Proficiency in at least one programming language, Python preferred Solid understanding of Linux operating systems, ideally RedHat/CentOS/Amazon Linux, and networking fundamentals. Solid foundation in security principles and best practices Solid knowledge of at least one of the major configuration management and automation frameworks (Terraform and Ansible preferred) Hands on experience running highly available MySQL, PostgreSQL, ElasticSearch, or Redis Hands on experience setting up and maintaining monitoring, alerting and logging solution Experience building CI/CD pipelines, qa/development environments and related tooling Experience creating scalable systems, preferably in e-commerce or consumer-facing websites Enthusiastic contributor to high-level architecture About Our Benefits: Expected Base Salary Range: $169,725 - $200,540 depending on candidate location and experience Ongoing training and growth opportunities. A ""Best Place to Work"" winner multiple times where we focus on creating a great employee experience. Rock solid medical, dental, and vision plans. Mental Health Coverage - we offer several programs to support your mental health and wellness goals. Unlimited Paid Vacation. We expect you to work hard, but still enjoy your personal life 7 weeks of baby bonding time for all new parents (within the first year of birth or adoption), 8 Weeks of Paid Pregnancy Leave. 401(k) Matching Employer-contributing student loan assistance program or continuing education reimbursement program Employee Stock Incentive Plan. Pet insurance for your fur babies Consistent & fair leadership: weâll share info, set clear goals, show you respect, and treat everyone fairly. Enough freedom to spread your wings while still holding you accountable. \n The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. This is not intended to be an exhaustive list of all responsibilities, duties and skills required. As one of ChowNowâs core values, âCelebrates Diversityâ, we are committed to an inclusive and diverse work environment. ChowNow is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status. We are committed to developing a barrier-free recruitment process and work environment, if you require any accommodation, please let us know at your earliest convenience and weâll work with you to meet your accessibility needs. Information Regarding Recruiting Scams: ChowNow does not engage in outreach to prospective candidates by text message about employment opportunities, interviews, or employment offers, and we do not make job offers after only one interview. ChowNow does not ask candidates to submit sensitive personal information (Passport details, banking information, etc.) as part of the interview process. ChowNow employment offers are made by a ChowNow Talent Acquisition team member with a @chownow.com email address only. ChowNow does not ask candidates to provide funds to the company for onboarding, equipment, or supplies. If you receive an employment inquiry or employment offer from a non @chownow.com email address, consider it spam. Read here about your California privacy rights. #Li-Remote Please mention the word **PAINLESSLY** and tag RNzIuNDkuMjMxLjcx when applying to show you read the job post completely (#RNzIuNDkuMjMxLjcx). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-03-07,https://remoteOK.com/remote-jobs/remote-senior-devops-engineer-chownow-1130673,"design, ansible, security, python, training, support, growth, code, voice, devops, education, banking, mobile, management, senior, sales, go, health, recruiting, engineer, engineering, recruitment, linux, e-commerce, digital nomad",remoteok
